,page,job_id,title,role_id,listing_date,teaser,classification,subClassification,workType,location,suburbWhereValue,salary,companyName,company_advertiser,isPrivateAdvertiser
510,24,59753777,Earth Observation Data Workflow Developer,developer,2023-01-17T05:27:17Z,"Python, Github and HPC",Information & Communication Technology,Developers/Programmers,Contract/Temp,Canberra,Canberra ACT 2600,"$100 - $115 p.h. + Full time position, 40 hours p.",Recruitment Hive,Recruitment Hive,False
511,24,59748556,Enterprise Data Architect,enterprise-data-architect,2023-01-17T01:58:49Z,We are looking for a talented Enterprise Data Architect to join our team!,Information & Communication Technology,Architects,Full Time,Melbourne,Melbourne VIC 3000,,Attra Pty Ltd,Attra Pty Ltd,False
512,24,59777835,Python Odoo Developer,Odoo-Developer,2023-01-19T00:28:06Z,"Python Odoo Developer | Permanent Full Time | Melbourne Eastern Suburbs | Hybrid Working 
| Large Company |",Information & Communication Technology,Developers/Programmers,Full Time,Melbourne,Box Hill VIC 3128,,Morgan Consulting,Morgan Consulting,False
513,24,59687002,Online Data Analyst - Australia,data-analyst,2023-01-11T08:49:31Z,TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models,Information & Communication Technology,Other,Contract/Temp,Hobart,Hobart TAS 7000,,,TELUS International AI INC,False
514,24,59699558,Data Scientist - Search Engines,data-scientist,2023-01-12T04:41:57Z,"We are currently recruiting a Data Scientist to work in a dynamic Australian supermarket, retail and consumer service chain.",Information & Communication Technology,Engineering - Software,Contract/Temp,Melbourne,Camberwell VIC 3124,,Peoplebank,Peoplebank Australia VIC,False
515,24,59762651,Data Architect,data-architect,2023-01-18T00:39:05Z,Exciting opportunity for a Data Architect to be apart of the greener future of Australia,Information & Communication Technology,Architects,Contract/Temp,Sydney,Sydney NSW 2000,$850 - $1100 per day,Opus Recruitment Solutions,Opus Recruitment Solutions,False
516,24,59768920,BA (Data Specialist),data-specialist,2023-01-18T04:50:30Z,The purpose of the Data Specialist role is to support the Business Implementation stream of the Program through provision of data analysis & modelling,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Sydney,Parramatta NSW 2150,$800 - $1k p.d.,Talent International,Talent – SEEK Recruitment Agency of the Year | 7 Time Winner,False
517,24,59798101,Data Analytics Director,analytics-director,2023-01-20T04:19:06Z,"Data Analytics Director - Indie Media Agency
Drive MTA/ MMM projects & implementation & build out the data & analytics practice for the indie agency!","Advertising, Arts & Media","Media Strategy, Planning & Buying",Full Time,Sydney,Darlinghurst NSW 2010,$160000.00 - $180000.00 p.a. + plus super + shares,Bluefin Resources,Bluefin Resources Pty Limited,False
518,24,59692907,Data Configuration Specialist,configuration-specialist,2023-01-12T00:25:52Z,An analytical problem-solver with decision making ability and a high attention to detail. Drive the delivery of the technical data migration.,Information & Communication Technology,Business/Systems Analysts,Full Time,Sydney,Parramatta NSW 2150,,Greater Bank,Greater Bank Limited,False
519,24,59689367,Snowflake Developer,developer,2023-01-11T21:50:05Z,Snowflake Developer required to build pipelines to migrate data from various source systems to Cloud for a well-known healthcare business.,Information & Communication Technology,Developers/Programmers,Contract/Temp,Melbourne,Melbourne VIC 3000,$950pd,FourQuarters Recruitment,FourQuarters Recruitment,False
520,24,59758858,Python Odoo Developer,Odoo-Developer,2023-01-17T21:40:06Z,"Python Odoo Developer | Permanent Full Time | Melbourne Eastern Suburbs | Hybrid Working 
| Large Company |",Information & Communication Technology,Developers/Programmers,Full Time,Melbourne,Box Hill VIC 3128,,Morgan Consulting,Morgan Consulting,False
521,24,59739822,Senior Data Analyst & Developer,analyst-developer,2023-01-16T08:20:26Z,We are looking for a Senior Data Analyst & Developer to improve Supply Chain Planning tools and processes with Data Transformation.,Information & Communication Technology,Database Development & Administration,Full Time,Sydney,Macquarie Park NSW 2113,,Schneider Electric,Schneider Electric,False
522,24,59888478,Data Quality Specialist,quality-specialist,2023-01-27T06:15:15Z,"Responsible for creating and monitoring data quality controls, identifying data issues, support the development and management of data tools.",Information & Communication Technology,Business/Systems Analysts,Full Time,Sydney,Sydney NSW 2000,,iCare,icare,False
523,24,59682621,Senior Data Architect,data-architect,2023-01-11T04:11:19Z,Looking for Motivated Data Architects to assist around our Data strategy & transformation projects,Information & Communication Technology,Architects,Full Time,Sydney,,$180k - $200k p.a. + Super & Bonus,Resolution Life,Resolution Life,False
524,24,59833201,Cloud Engineer,cloud-engineer,2023-01-24T04:49:17Z,Permanent opportunity as a Devops Engineer,Information & Communication Technology,Engineering - Software,Full Time,Brisbane,Brisbane QLD 4000,,TEKsystems,TEKsystems,False
525,24,59640946,Data Science Team Lead,team-leader,2023-01-09T00:45:40Z,"Full Time Role, Located in South Brisbane, Vast Array of Benefits, Various Career Growth Opportunities, and Generous WFH Options",Information & Communication Technology,Team Leaders,Full Time,Brisbane,South Brisbane QLD 4101,,Flight Centre Travel Group,Flight Centre Travel Group,False
526,24,59701898,Senior Data Scientist,data-scientist,2023-01-12T06:32:06Z,Opportunity for a Senior Data Scientist to join the digital division of one of the world's leading engineering professional services consulting firms,Information & Communication Technology,Consultants,Full Time,Melbourne,Melbourne VIC 3000,$150k - $170k p.a.,Robert Walters,Robert Walters,False
527,24,59808038,Full Stack Python Developer,Full-Stack-Python-Developer,2023-01-22T21:54:08Z,"We are seeking to have a talented Full Stack Python Developer join our progressive, creative and innovative team of technology.",Information & Communication Technology,Developers/Programmers,Full Time,Melbourne,Melbourne VIC 3000,,,Robotic Marketer Pty Ltd,False
528,25,59763083,"Business Process Analyst, Group Treasury",business-process-analyst,2023-01-18T00:57:06Z,"In Group Treasury, you will work in the financial centre of Macquarie, driving real change for our businesses.",Accounting,Treasury,Full Time,Sydney,Sydney NSW 2000,,Macquarie Group,Macquarie Group Limited,False
529,25,59763082,"Business Process Analyst, Group Treasury",business-process-analyst,2023-01-18T00:57:05Z,"In Group Treasury, you will work in the financial centre of Macquarie, driving real change for our businesses.",Information & Communication Technology,Business/Systems Analysts,Full Time,Sydney,Sydney NSW 2000,,Macquarie Group,Macquarie Group Limited,False
530,25,59624369,Data Scientist,data-scientist,2023-01-06T01:19:23Z,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Information & Communication Technology,Consultants,Full Time,Melbourne,Melbourne VIC 3000,,Catapult BI,CatapultBI,False
531,25,59595936,Machine Learning Engineer,machine-learning-engineer,2023-01-03T06:15:28Z,Our client is an Australian leader in rail freight. Work with an ASX listed company in an exciting 5-month contract in Machine Learning.,Information & Communication Technology,Engineering - Software,Contract/Temp,Brisbane,Fortitude Valley QLD 4006,$100 - $135 per hour,Exclaim IT,Exclaim IT,False
532,25,59750492,Clinical Quality Registry Database Engineer (technical lead) - Stroke,database-engineer,2023-01-17T03:14:45Z,An excellent opportunity is available for a highly motivated individual to join the Public Health and Health Services Research in the Stroke Theme.,Information & Communication Technology,Database Development & Administration,Full Time,Melbourne,Heidelberg VIC 3084,,The Florey Institute of Neuroscience & Mental Health,The Florey Institute of Neuroscience & Mental Health,False
533,25,59775989,Solution Architect – Data and Analytics,solutions-architect,2023-01-18T23:03:34Z,"An opportunity has arisen for a Solution Architect – Data and Analytics to join our Innovation, Marketing & Technology team in Sydney.",Information & Communication Technology,Architects,Full Time,Sydney,Sydney NSW 2000,,Stockland,Stockland,False
534,25,59665449,Artificial Intelligence Engineer,Artificial-Intelligence-Engineer,2023-01-10T04:05:03Z,Looking for the chance to work with a global AI Engineering team?,Information & Communication Technology,Other,Full Time,Sydney,Sydney NSW 2000,,Centennial Coal,Centennial Coal,False
535,25,59768921,Data Assurance: Engineering & Modelling | Senior Consultant | GPS,engineering,2023-01-18T04:50:44Z,"Ignite a meaningful career that's supported by flexible working, unparalleled development opportunities and progressive policies and benefits.",Information & Communication Technology,Consultants,Full Time,Melbourne,Melbourne VIC 3000,,PwC,PwC,False
536,25,59631304,Senior Data Scientist,data-scientist,2023-01-06T22:46:58Z,Join a team undertaking a large-scale data transformation!,Information & Communication Technology,Engineering - Software,Full Time,Sydney,,$140k - $160k + super + bonus,TheDriveGroup,TheDriveGroup,False
537,25,59799290,Director of Data Platforms,director,2023-01-20T05:02:00Z,Initial 12-month rolling daily-rate contract available for a Director of Data Platforms,Information & Communication Technology,Management,Full Time,Sydney,Sydney NSW 2000,,SKL,SKL,False
538,25,59624430,Data Scientist,data-scientist,2023-01-06T01:22:24Z,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Information & Communication Technology,Consultants,Full Time,Sydney,Sydney NSW 2000,,Catapult BI,CatapultBI,False
539,25,59668023,Data Architect,data-architect,2023-01-10T05:22:33Z,Our Government client is looking for a Data Architect to lead the development of a Data Architecture Framework and implement a Data Maturity program,Information & Communication Technology,Architects,Full Time,Melbourne,Melbourne VIC 3000,,Talent International,Talent - SEEK Recruitment Agency of the Year | 7 Time Winner,False
